1400 ,-4.19242e-01, 5.37811e-01, -6.57671e-01, -2.65059e-01, -5.01584e-01, -4.78492e-01, -2.40619e-02, 2.81326e-01, -6.34890e-01, 1.06061e-01, -8.52899e-01, 8.05293e-02, 2.35446e-01, -7.50843e-01, 6.39424e-02, -1.26291e-01, 5.46292e-02, 9.09145e-02, -1.36361e-01, 1.59105e-01, 2.53988e-01
1500 ,-4.34763e-01, 4.38792e-01, -6.91099e-01, -2.58065e-01, -5.27047e-01, -3.65037e-01, -8.10487e-02, 2.82984e-01, -5.64172e-01, 2.72222e-02, -8.03944e-01, 8.05819e-02, 2.49815e-01, -7.65695e-01, 6.58577e-02, -1.26319e-01, 5.47179e-02, 9.65583e-02, -1.32927e-01, 1.57481e-01, 2.56770e-01
1600 ,-4.57205e-01, 3.12480e-01, -7.07849e-01, -2.60618e-01, -5.60542e-01, -2.19944e-01, -1.33310e-01, 2.84269e-01, -4.76234e-01, -4.04317e-02, -7.47701e-01, 8.05537e-02, 2.63693e-01, -7.74424e-01, 6.83387e-02, -1.26334e-01, 5.46649e-02, 1.02232e-01, -1.28139e-01, 1.54826e-01, 2.60386e-01
1700 ,-4.76496e-01, 2.30046e-01, -7.18417e-01, -2.49703e-01, -5.91798e-01, -1.29002e-01, -1.38447e-01, 2.85657e-01, -4.28442e-01, -4.32971e-02, -7.21791e-01, 8.04628e-02, 2.75063e-01, -7.78466e-01, 7.10610e-02, -1.26144e-01, 5.45736e-02, 1.07741e-01, -1.21662e-01, 1.51301e-01, 2.64245e-01
1800 ,-4.92995e-01, 2.05048e-01, -7.29269e-01, -2.39427e-01, -6.25281e-01, -1.06457e-01, -1.09422e-01, 2.87171e-01, -4.19525e-01, -3.09563e-03, -7.17906e-01, 8.04708e-02, 2.88921e-01, -7.83975e-01, 7.34324e-02, -1.26216e-01, 5.45605e-02, 1.13077e-01, -1.15410e-01, 1.48324e-01, 2.67476e-01
1900 ,-5.08593e-01, 1.88592e-01, -7.38293e-01, -2.40618e-01, -6.58739e-01, -9.15459e-02, -7.59836e-02, 2.88940e-01, -4.13731e-01, 4.12400e-02, -7.15641e-01, 8.05720e-02, 3.03811e-01, -7.90370e-01, 7.54243e-02, -1.26283e-01, 5.47089e-02, 1.18385e-01, -1.09749e-01, 1.45954e-01, 2.70131e-01
2000 ,-5.23205e-01, 1.71950e-01, -7.45622e-01, -2.47358e-01, -6.90464e-01, -7.64243e-02, -4.26533e-02, 2.91045e-01, -4.07579e-01, 8.56716e-02, -7.13437e-01, 8.05293e-02, 3.17580e-01, -7.96062e-01, 7.71353e-02, -1.26256e-01, 5.46659e-02, 1.23581e-01, -1.04289e-01, 1.43948e-01, 2.72409e-01
2100 ,-5.34822e-01, 1.57278e-01, -7.51931e-01, -2.54330e-01, -7.18011e-01, -6.30574e-02, -1.39176e-02, 2.93359e-01, -4.01573e-01, 1.24660e-01, -7.11489e-01, 8.04786e-02, 3.29165e-01, -8.00668e-01, 7.85454e-02, -1.26167e-01, 5.46313e-02, 1.28210e-01, -9.93004e-02, 1.42546e-01, 2.74327e-01
2200 ,-5.43626e-01, 1.44314e-01, -7.58938e-01, -2.59399e-01, -7.42621e-01, -5.10411e-02, 1.00469e-02, 2.95844e-01, -3.95829e-01, 1.57401e-01, -7.09833e-01, 8.06412e-02, 3.39898e-01, -8.04564e-01, 7.96776e-02, -1.26269e-01, 5.48467e-02, 1.32320e-01, -9.45071e-02, 1.41494e-01, 2.75919e-01
2300 ,-5.49903e-01, 1.33839e-01, -7.67941e-01, -2.61016e-01, -7.64543e-01, -4.11296e-02, 2.93630e-02, 2.98740e-01, -3.90658e-01, 1.83563e-01, -7.08532e-01, 8.05307e-02, 3.50332e-01, -8.08405e-01, 8.05654e-02, -1.26231e-01, 5.46670e-02, 1.35996e-01, -8.98600e-02, 1.40692e-01, 2.77207e-01
